Topic,N,Percent,chi2_topic_speaker_p,chi2_topic_gender_p,kruskal_likes_p,chi2_sentiment_p
"Symptom phenotype: itch, wheals, rash, burning",1334,25.2%,1.4743796171258756e-179,0.013038073248576006,2.0227985096544042e-10,1.1044630720156661e-129
Chronic lived experience & persistence,1012,19.1%,1.4743796171258756e-179,0.013038073248576006,2.0227985096544042e-10,1.1044630720156661e-129
"Triggers & causal beliefs (food, cold, stress, infections)",780,14.7%,1.4743796171258756e-179,0.013038073248576006,2.0227985096544042e-10,1.1044630720156661e-129
Non-clinical / meta / praise / religion (engagement),765,14.4%,1.4743796171258756e-179,0.013038073248576006,2.0227985096544042e-10,1.1044630720156661e-129
Conventional treatments & symptom control,674,12.7%,1.4743796171258756e-179,0.013038073248576006,2.0227985096544042e-10,1.1044630720156661e-129
Angioedema & airway/ER fear,434,8.2%,1.4743796171258756e-179,0.013038073248576006,2.0227985096544042e-10,1.1044630720156661e-129
Drug-induced angioedema (ACE/BP meds),116,2.2%,1.4743796171258756e-179,0.013038073248576006,2.0227985096544042e-10,1.1044630720156661e-129
Alternative remedies & cure narratives (misinfo-prone),92,1.7%,1.4743796171258756e-179,0.013038073248576006,2.0227985096544042e-10,1.1044630720156661e-129
Vaccine narratives (COVID shots),51,1.0%,1.4743796171258756e-179,0.013038073248576006,2.0227985096544042e-10,1.1044630720156661e-129
"Advanced therapy & biomedical (MCAS, Xolair, dermatographism)",40,0.8%,1.4743796171258756e-179,0.013038073248576006,2.0227985096544042e-10,1.1044630720156661e-129
