Unmet need,median_likes_flag1,median_likes_flag0,Mann_Whitney_p_FDR,Cliffs_delta,OR_high_engagement
Uncontrolled symptoms,1.0,0.0,7.0172991746873015e-06,0.10896823108313954,1.7534852801519385
Airway/ER fear,0.0,0.0,0.8598565218512061,-0.005171479896878942,1.1652644230769158
Treatment failure,1.0,0.0,0.003520194898803699,0.14771848678540037,1.6434014139826858
Medication side-effect fear,0.0,0.0,0.9584572029120828,0.0018548898880652435,0.9305432832623688
Trigger uncertainty,1.0,0.0,0.022375448498779985,0.07938013762560428,1.5528953383987343
Emotional distress,1.0,0.0,1.363807925270862e-09,0.1948248319929492,2.3286282740827993
Sleep/daily impairment,0.0,0.0,0.06998167336503841,0.04405521026717249,1.36243535622417
Access/cost barrier,1.0,0.0,0.05235865103640436,0.13521470328468688,2.4541509282326426
Diagnostic confusion,1.0,0.0,0.012531111154401784,0.12374026568941823,1.666289058812392
Misinformation vulnerability,0.0,0.0,0.00043850865619532003,-0.17796400440344423,0.3909465020576066
