Unmet need,sentiment_compound_flag1,sentiment_compound_flag0,Mann_Whitney_p_FDR,Chi2_sentiment_p_FDR
Uncontrolled symptoms,-0.5423,0.0,1.6470861988251627e-81,1.8077440177718242e-102
Airway/ER fear,-0.1779,0.0,4.1472127504887036e-16,6.671236930205934e-15
Treatment failure,-0.186,0.0,0.000518293735256898,5.850307317081147e-06
Medication side-effect fear,0.0,0.0,0.0013966543657118506,2.6941124696508703e-06
Trigger uncertainty,-0.00645,0.0,5.413853334457935e-05,1.263574195245443e-06
Emotional distress,-0.4753,0.0,1.5537917112744137e-29,3.2081658650426518e-46
Sleep/daily impairment,0.0,0.0,0.6349532886966123,3.657870187315701e-12
Access/cost barrier,0.0,0.0,0.454460018895285,0.17909405772058803
Diagnostic confusion,0.0,0.0,0.026486038376468325,0.00480915828660278
Misinformation vulnerability,0.4201,0.0,3.731227428039179e-09,8.374195850965817e-08
