term,count
lips,111
swollen,104
lip,89
doctor,73
help,69
medicine,61
dr,55
body,54
cause,51
sir,51
allergy,49
problem,48
treatment,48
allergic,47
happened,45
face,42
water,39
good,38
tell,38
cold,36
morning,36
swelling,36
bad,35
life,35
days,32
day,31
woke,31
year,31
cure,30
away,30
mam,30
upper,29
best,26
taking,26
eating,25
night,24
started,24
doctors,24
work,24
love,24
weeks,24
stop,23
solution,22
happen,21
today,21
went,20
eat,20
eyes,20
swell,19
swelled,19
disease,18
rid,18
happens,18
videos,18
used,18
wow,18
allergies,17
getting,17
pain,17
new,17
condition,17
better,17
berg,17
causes,16
test,16
school,16
hours,16
month,16
normal,16
gone,16
nice,16
iyhere,16
medical,16
mouth,16
thought,15
arms,15
reason,15
hot,15
caused,15
information,15
treat,14
took,14
working,14
using,14
yrs,13
ice,13
hands,13
week,13
drink,13
painful,13
ate,13
bro,12
annoying,12
salt,12
little,12
thank,12
didn,12
lol,12
worse,12
advice,12
possible,12
exactly,12
contact,12
suggest,12
tried,12
black,12
cream,12
came,12
tongue,12
yesterday,12
pimple,12
hard,11
live,11
left,11
exercise,11
kind,11
coming,11
hope,11
watch,11
youtube,11
saying,11
goes,11
makes,10
different,10
ok,10
damn,10
remedy,10
legs,10
type,10
foods,10
vitamin,10
real,10
question,10
throat,10
warm,10
number,10
things,10
old,10
happy,10
rashes,10
crazy,10
understand,10
care,10
trust,10
natural,10
immediately,9
helps,9
gonna,9
youre,9
couple,9
